DOI,Authors,Checked By,Constraints / Assumptions,Description of layout algorithm,Domain,Evaluation,Exclude?,Keep,Layout Method fully described in paper,Method Type,Optimization Objectives,Source,Special features,Temporal Model,Title,URL,Venue,Visual/Structural features supported,Year
10.1145/3746059.3747609,"Lee, Seung-Jun, Yoon, Jeongche, Lee, Sang-Hyun, Lee, Joon Hyub, Bae, Seok-Hyung",Henry,,,,,No,No,No,,,ACM,,,3D Sketching + 2D Generative AI for Car Exterior Design,https://doi.org/10.1145/3746059.3747609,Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology,,2025
10.1145/3756580.3756618,"Li, Jiaxin",Henry,,,,,No,No,No,,,ACM,,,Analysis of research hotspots and trends in biotechnology and education based on CiteSpace: Taking WOS data as an example,https://doi.org/10.1145/3756580.3756618,"Proceedings of the 2025 6th International Conference on Education, Knowledge and Information Management",,2025
10.1145/3315002.3317554,"Harper, Simon, Eraslan, Sukru, Yesilada, Yeliz",Henry,,,,,No,No,No,,,ACM,,,It's All About the Message: Visual Experience is a Precursor to Accurate Auditory Interaction,https://doi.org/10.1145/3315002.3317554,Proceedings of the 16th International Web for All Conference,,2019
10.1145/3708036.3708123,"Ma, Guoxuan",Henry,,,,,No,No,No,,,ACM,,,Research on the Integration of Artificial Intelligence and Signal Processing: A Trend Analysis Based on Bibliometrics,https://doi.org/10.1145/3708036.3708123,Proceedings of the 2024 5th International Conference on Computer Science and Management Technology,,2025
10.1145/3746469.3746578,"Chen, Ke, Sun, Ying",Henry,,,,,No,No,No,,,ACM,,,Study of BP's Energy Outlook Through Corpus Software Antconc,https://doi.org/10.1145/3746469.3746578,Proceedings of the 2nd Guangdong-Hong Kong-Macao Greater Bay Area Education Digitalization and Computer Science International Conference,,2025
10.1145/2466627.2481207,"Hills, Damian",Henry,,,,,No,No,No,,,ACM,,,Recall that moment an evaluation tool for collaborative narrative interface,https://doi.org/10.1145/2466627.2481207,Proceedings of the 9th ACM Conference on Creativity &amp; Cognition,,2013
10.1145/2662253.2662271,"Socas, V\'{\i}ctor, Gonz\'{a}lez, Carina, Caratelli, Sara",Henry,,,,,No,No,No,,,ACM,,,Emotional Navigation in nonlinear narratives: a case study on the influence of color,https://doi.org/10.1145/2662253.2662271,Proceedings of the XV International Conference on Human Computer Interaction,,2014
10.1145/3708036.3708106,"Li, Yaoye, Zhang, Yinbo, He, Rong, Ma, Lianxia, Chen, Fang",Henry,,,,,No,No,No,,,ACM,,,Bibliometric Analysis of Road Distress Detection Based on Citespace,https://doi.org/10.1145/3708036.3708106,Proceedings of the 2024 5th International Conference on Computer Science and Management Technology,,2025
10.1145/3532204,"Coppers, Sven, Vanacken, Davy, Luyten, Kris",Henry,,,,,No,No,No,,,ACM,,,FortClash: Predicting and Mediating Unintended Behavior in Home Automation,https://doi.org/10.1145/3532204,Proc. ACM Hum.-Comput. Interact.,,2022
10.1145/3576050.3576058,"Alfredo, Riordan Dervin, Nie, Lanbing, Kennedy, Paul, Power, Tamara, Hayes, Carolyn, Chen, Hui, McGregor, Carolyn, Swiecki, Zachari, Ga\v{s}evi\'{c}, Dragan, Martinez-Maldonado, Roberto",Henry,,,,,No,No,No,,,ACM,,,That Student Should be a Lion Tamer! StressViz: Designing a Stress Analytics Dashboard for Teachers,https://doi.org/10.1145/3576050.3576058,LAK23: 13th International Learning Analytics and Knowledge Conference,,2023
